Symbol,Name,Exchange,instrument_key,industry,sector
AARTIDRUGS,Aarti Drugs Limited,2,BSE_EQ|INE767A01016,Pharmaceuticals,Pharmaceuticals & Biotechnology
BODALCHEM,Bodal Chemicals Ltd,2,BSE_EQ|INE338D01028,Dyes And Pigments,Chemicals & Petrochemicals
ORCHPHARMA,Orchid Pharma Limited,2,BSE_EQ|INE191A01027,Pharmaceuticals,Pharmaceuticals & Biotechnology
VIMTALABS,Vimta Labs Ltd.,2,BSE_EQ|INE579C01029,Healthcare Research- Analytics & Technology,Healthcare Services
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals,2,BSE_EQ|INE829A01014,Pharmaceuticals,Pharmaceuticals & Biotechnology
ISHITADR,Ishita Drugs & Industries Ltd.,2,BSE_EQ|INE806D01016,Pharmaceuticals,Pharmaceuticals & Biotechnology
MARKSANS,Marksans Pharma Ltd.,2,BSE_EQ|INE750C01026,Pharmaceuticals,Pharmaceuticals & Biotechnology
UNIVSTAR,Universal Starch-Chem Allied Ltd.,2,BSE_EQ|INE113E01015,Other Agricultural Products,Agricultural Food & other Products
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Ltd,2,BSE_EQ|INE198H01019,Pharmaceuticals,Pharmaceuticals & Biotechnology
NORRIS,Norris Medicines Ltd.,2,BSE_EQ|INE744C01029,Trading & Distributors,Commercial Services & Supplies
ASINPET,Asian Petroproducts & Exports Ltd.,2,BSE_EQ|INE810M01019,Commodity Chemicals,Chemicals & Petrochemicals
CAMEXLTD,Camex  Ltd.,2,BSE_EQ|INE198C01010,Commodity Chemicals,Chemicals & Petrochemicals
EVEXIA,EVEXIA LIFECARE LIMITED,2,BSE_EQ|INE313M01030,Edible Oil,Agricultural Food & other Products
INDOEURO,Indo Euro Indchem Limited,2,BSE_EQ|INE319N01019,Specialty Chemicals,Chemicals & Petrochemicals
SYNCOMF,Syncom Formulations (India) Ltd.,2,BSE_EQ|INE312C01025,Pharmaceuticals,Pharmaceuticals & Biotechnology
RIDDHI,Riddhi Siddhi Gluco Biols Ltd,2,BSE_EQ|INE249D01019,Trading & Distributors,Commercial Services & Supplies
SVCIND,SVC INDUSTRIES LIMITED,2,BSE_EQ|INE038B01010,Diversified Commercial Services,Commercial Services & Supplies
IPCALAB,Ipca Laboratories Ltd.,2,BSE_EQ|INE571A01038,Pharmaceuticals,Pharmaceuticals & Biotechnology
KILITCH,Kilitch Drugs (I) Ltd.,2,BSE_EQ|INE729D01010,Pharmaceuticals,Pharmaceuticals & Biotechnology
RAAJMEDI,Raaj Medisafe India Limited,2,BSE_EQ|INE548H01015,Packaging,Industrial Products
REVAORG,Revati Organics Ltd.,2,BSE_EQ|INE270D01015,Trading & Distributors,Commercial Services & Supplies
CORALAB,Coral Laboratories Ltd.,2,BSE_EQ|INE683E01017,Pharmaceuticals,Pharmaceuticals & Biotechnology
TULASEEBIOE,Tulasee Bio-Ethanol Ltd.,2,BSE_EQ|INE276N01011,Commodity Chemicals,Chemicals & Petrochemicals
BACPHAR,Bacil Pharma Ltd.,2,BSE_EQ|INE711D01018,Pharmaceuticals,Pharmaceuticals & Biotechnology
KREBSBIO,Krebs Biochemicals & Industries Ltd.,2,BSE_EQ|INE268B01013,Pharmaceuticals,Pharmaceuticals & Biotechnology
KMCSHIL,KMC Speciality Hospitals India Limited,2,BSE_EQ|INE879K01018,Hospital,Healthcare Services
LAFFANSQ,Laffans Petrochemicals Ltd.,2,BSE_EQ|INE919B01011,Trading - Chemicals,Chemicals & Petrochemicals
BHASKAGR,Bhaskar Agrochemicals Ltd.,2,BSE_EQ|INE972C01018,Pesticides & Agrochemicals,Fertilizers & Agrochemicals
SUKHJITS,Sukhjit Starch & Chemicals Ltd.,2,BSE_EQ|INE450E01011,Other Agricultural Products,Agricultural Food & other Products
SATAGRI,Satiate Agri Limited,2,BSE_EQ|INE06DM01015,Pharmaceuticals,Pharmaceuticals & Biotechnology
SHARMEH,Sharma East India Hospitals And Res,2,BSE_EQ|INE465H01012,Healthcare Service Provider,Healthcare Services
NEULANDLAB,Neuland Laboratories Limited.,2,BSE_EQ|INE794A01010,Pharmaceuticals,Pharmaceuticals & Biotechnology
GAYATRIBI,Gayatri BioOrganics Ltd,2,BSE_EQ|INE052E01015,Commodity Chemicals,Chemicals & Petrochemicals
PODDARMENT,Poddar Pigments Ltd.,2,BSE_EQ|INE371C01013,Dyes And Pigments,Chemicals & Petrochemicals
PHARMAID,Pharmaids Pharmaceuticals Ltd.,2,BSE_EQ|INE117D01018,Pharmaceuticals,Pharmaceuticals & Biotechnology
VIVIDIND,Vivid Global Industries Limited,2,BSE_EQ|INE737C01023,Commodity Chemicals,Chemicals & Petrochemicals
PRIYALT,Priya Limited.,2,BSE_EQ|INE686C01014,Trading & Distributors,Commercial Services & Supplies
TIRUSTA,Tirupati Starch & Chemicals Ltd.,2,BSE_EQ|INE314D01011,Other Food Products,Food Products
HEMORGANIC,Hemo Organic Limited,2,BSE_EQ|INE422G01015,Trading & Distributors,Commercial Services & Supplies
JAYSYNTH,JAYSYNTH ORGOCHEM LIMITED,2,BSE_EQ|INE263B01022,Specialty Chemicals,Chemicals & Petrochemicals
AEONXDIGI,Aeonx Digital Technology Limited,2,BSE_EQ|INE994D01010,Trading - Minerals,Metals & Minerals Trading
AKSHARCHEM,AksharChem (India) Ltd.,2,BSE_EQ|INE542B01011,Dyes And Pigments,Chemicals & Petrochemicals
BANDARAM,BANDARAM PHARMA PACKTECH LIMITED,2,BSE_EQ|INE875N01036,Healthcare Service Provider,Healthcare Services
ADLINE,ADLINE CHEM LAB LIMITED,2,BSE_EQ|INE276T01018,Pharmaceuticals,Pharmaceuticals & Biotechnology
